MEP	ECMp	Ligand	Spot Cell Count	2N DNA Proportion	EdU+ Proportion
CD44|1_CXCL8|1	CD44|1	CXCL8|1	8.852	1.1378	-2.4414
CDH15_CXCL8|1	CDH15	CXCL8|1	8.749	1.2166	-2.6909
CDH1|1_CXCL8|1	CDH1|1	CXCL8|1	8.809	1.2615	-2.5593
CDH20_CXCL8|1	CDH20	CXCL8|1	8.784	1.1507	-2.4894
CDH3|1_CXCL8|1	CDH3|1	CXCL8|1	8.601	1.319	-2.5651
CDH6|1_CXCL8|1	CDH6|1	CXCL8|1	8.735	1.1823	-2.3082
CDH8_CXCL8|1	CDH8	CXCL8|1	8.823	1.3066	-2.5356
CEACAM6_CXCL8|1	CEACAM6	CXCL8|1	8.875	1.0953	-2.4442
COL1_CXCL8|1	COL1	CXCL8|1	8.778	1.2282	-2.5004
COL23A1|1_CXCL8|1	COL23A1|1	CXCL8|1	8.952	1.2572	-2.4815
COL2A1|2_CXCL8|1	COL2A1|2	CXCL8|1	8.88	1.1671	-2.6618
COL3A1|1_CXCL8|1	COL3A1|1	CXCL8|1	8.927	1.1362	-2.4011
COL4_CXCL8|1	COL4	CXCL8|1	9.092	1.4226	-2.5757
COL5A1_CXCL8|1	COL5A1	CXCL8|1	8.789	1.0924	-2.2124
DCN|A_CXCL8|1	DCN|A	CXCL8|1	8.722	0.9822	-2.377
DSG2_CXCL8|1	DSG2	CXCL8|1	8.723	1.1842	-2.4561
ECM1|1_CXCL8|1	ECM1|1	CXCL8|1	8.95	1.2611	-2.3841
ELN|3_CXCL8|1	ELN|3	CXCL8|1	7.863	1.2715	-2.3537
FBN1_CXCL8|1	FBN1	CXCL8|1	8.932	1.5372	-2.7877
FN1|1_CXCL8|1	FN1|1	CXCL8|1	8.932	1.5252	-2.6326
GAP43|1_CXCL8|1	GAP43|1	CXCL8|1	8.634	1.4106	-2.5549
HA<500kDa_CXCL8|1	HA<500kDa	CXCL8|1	8.924	1.069	-2.3705
HA>500kDa_CXCL8|1	HA>500kDa	CXCL8|1	8.587	1.004	-2.4857
ICAM1_CXCL8|1	ICAM1	CXCL8|1	8.779	1.2994	-2.3778
ITGA10B1_CXCL8|1	ITGA10B1	CXCL8|1	8.784	1.196	-2.5943
ITGA2B1_CXCL8|1	ITGA2B1	CXCL8|1	8.573	1.1287	-2.4177
ITGA3B1_CXCL8|1	ITGA3B1	CXCL8|1	8.583	1.2303	-2.5172
ITGA4B1_CXCL8|1	ITGA4B1	CXCL8|1	8.599	1.0865	-2.467
ITGA6B4_CXCL8|1	ITGA6B4	CXCL8|1	8.597	1.1528	-2.5559
ITGA9B1_CXCL8|1	ITGA9B1	CXCL8|1	8.829	1.2387	-2.4831
ITGAMB2_CXCL8|1	ITGAMB2	CXCL8|1	8.758	1.0668	-2.4655
ITGAVB6_CXCL8|1	ITGAVB6	CXCL8|1	8.729	1.0426	-2.4906
LAMB1_CXCL8|1	LAMB1	CXCL8|1	8.769	1.0563	-2.618
LUM_CXCL8|1	LUM	CXCL8|1	8.946	1.295	-2.5328
Laminin3B32_CXCL8|1	Laminin3B32	CXCL8|1	8.861	1.1886	-2.5293
NID1|1_CXCL8|1	NID1|1	CXCL8|1	8.354	1.8894	-2.0261
OMD_CXCL8|1	OMD	CXCL8|1	9.002	1.4869	-2.5561
PECAM1|Long_CXCL8|1	PECAM1|Long	CXCL8|1	8.795	1.2069	-2.518
POSTN|1_CXCL8|1	POSTN|1	CXCL8|1	8.846	1.3575	-2.6602
SPARC_CXCL8|1	SPARC	CXCL8|1	8.985	1.3732	-2.5478
SPP1|A_CXCL8|1	SPP1|A	CXCL8|1	8.738	0.9173	-2.3536
THBS1|1_CXCL8|1	THBS1|1	CXCL8|1	8.982	1.5915	-2.7569
TNC|1_CXCL8|1	TNC|1	CXCL8|1	9.021	1.2841	-2.7712
VCAM1|1_CXCL8|1	VCAM1|1	CXCL8|1	8.799	1.073	-2.6087
VTN_CXCL8|1	VTN	CXCL8|1	8.822	1.2844	-2.5697
ALCAM|1_DLL1|1	ALCAM|1	DLL1|1	8.873	1.773	-2.4784
BCAN|1_DLL1|1	BCAN|1	DLL1|1	8.792	1.8757	-2.318
BGN_DLL1|1	BGN	DLL1|1	8.821	1.8099	-2.4326
CD44|1_DLL1|1	CD44|1	DLL1|1	8.799	1.4868	-2.59
CDH15_DLL1|1	CDH15	DLL1|1	8.883	1.7832	-2.444
CDH1|1_DLL1|1	CDH1|1	DLL1|1	8.795	1.7681	-2.6058
CDH20_DLL1|1	CDH20	DLL1|1	8.768	1.6682	-2.566
CDH3|1_DLL1|1	CDH3|1	DLL1|1	8.728	1.7221	-2.7884
CDH6|1_DLL1|1	CDH6|1	DLL1|1	8.78	1.7977	-2.4954
CDH8_DLL1|1	CDH8	DLL1|1	8.853	1.6959	-2.4544
CEACAM6_DLL1|1	CEACAM6	DLL1|1	8.809	1.6035	-2.3998
COL1_DLL1|1	COL1	DLL1|1	8.918	1.7533	-2.4532
COL23A1|1_DLL1|1	COL23A1|1	DLL1|1	8.912	1.8125	-2.5485
COL2A1|2_DLL1|1	COL2A1|2	DLL1|1	8.802	1.6235	-2.612
COL3A1|1_DLL1|1	COL3A1|1	DLL1|1	8.806	1.8368	-2.4416
COL4_DLL1|1	COL4	DLL1|1	8.811	1.7255	-2.4025
COL5A1_DLL1|1	COL5A1	DLL1|1	8.858	1.6182	-2.61
DCN|A_DLL1|1	DCN|A	DLL1|1	8.783	1.758	-2.5492
DSG2_DLL1|1	DSG2	DLL1|1	8.82	1.8655	-2.4434
ECM1|1_DLL1|1	ECM1|1	DLL1|1	8.812	1.6942	-2.5354
ELN|3_DLL1|1	ELN|3	DLL1|1	7.477	1.8095	-1.9866
FBN1_DLL1|1	FBN1	DLL1|1	8.926	1.6533	-2.6352
FN1|1_DLL1|1	FN1|1	DLL1|1	8.909	1.8469	-2.6425
GAP43|1_DLL1|1	GAP43|1	DLL1|1	8.866	1.6061	-2.6301
HA<500kDa_DLL1|1	HA<500kDa	DLL1|1	8.744	1.8595	-2.5011
HA>500kDa_DLL1|1	HA>500kDa	DLL1|1	8.9	1.6855	-2.6099
ICAM1_DLL1|1	ICAM1	DLL1|1	8.856	1.5036	-2.416
ITGA10B1_DLL1|1	ITGA10B1	DLL1|1	8.833	1.6984	-2.532
ITGA2B1_DLL1|1	ITGA2B1	DLL1|1	8.836	1.6386	-2.4623
ITGA3B1_DLL1|1	ITGA3B1	DLL1|1	8.715	1.675	-2.4048
ITGA4B1_DLL1|1	ITGA4B1	DLL1|1	8.874	1.731	-2.5613
ITGA6B4_DLL1|1	ITGA6B4	DLL1|1	8.863	1.7884	-2.4017
ITGA9B1_DLL1|1	ITGA9B1	DLL1|1	8.79	1.6782	-2.528
ITGAMB2_DLL1|1	ITGAMB2	DLL1|1	8.765	1.7866	-2.4481
ITGAVB6_DLL1|1	ITGAVB6	DLL1|1	8.66	1.5065	-2.5028
LAMB1_DLL1|1	LAMB1	DLL1|1	8.851	1.693	-2.6248
LUM_DLL1|1	LUM	DLL1|1	8.958	1.7629	-2.586
Laminin3B32_DLL1|1	Laminin3B32	DLL1|1	8.77	1.8994	-2.4972
NID1|1_DLL1|1	NID1|1	DLL1|1	7.949	1.804	-1.6212
OMD_DLL1|1	OMD	DLL1|1	8.968	1.8235	-2.5361
PECAM1|Long_DLL1|1	PECAM1|Long	DLL1|1	8.559	1.5881	-2.2905
POSTN|1_DLL1|1	POSTN|1	DLL1|1	8.748	1.6583	-2.6802
SPARC_DLL1|1	SPARC	DLL1|1	8.695	1.5991	-2.6147
SPP1|A_DLL1|1	SPP1|A	DLL1|1	8.541	1.685	-2.5774
THBS1|1_DLL1|1	THBS1|1	DLL1|1	8.717	2.1119	-2.5342
TNC|1_DLL1|1	TNC|1	DLL1|1	8.835	1.9372	-2.6521
VCAM1|1_DLL1|1	VCAM1|1	DLL1|1	8.762	1.7502	-2.4651
VTN_DLL1|1	VTN	DLL1|1	8.832	1.7847	-2.6817
ALCAM|1_DLL4	ALCAM|1	DLL4	8.765	1.1793	-2.4866
BCAN|1_DLL4	BCAN|1	DLL4	8.775	0.8654	-2.4933
BGN_DLL4	BGN	DLL4	8.817	1.0828	-2.4282
CD44|1_DLL4	CD44|1	DLL4	8.66	1.1792	-2.4772
CDH15_DLL4	CDH15	DLL4	8.537	1.0672	-2.3564
CDH1|1_DLL4	CDH1|1	DLL4	8.822	1.2612	-2.491
CDH20_DLL4	CDH20	DLL4	8.673	1.0307	-2.4115
CDH3|1_DLL4	CDH3|1	DLL4	8.508	1.2366	-2.4249
CDH6|1_DLL4	CDH6|1	DLL4	8.571	1.0337	-2.6273
CDH8_DLL4	CDH8	DLL4	8.589	1.0035	-2.6326
CEACAM6_DLL4	CEACAM6	DLL4	8.638	0.9836	-2.3637
COL1_DLL4	COL1	DLL4	8.698	0.9815	-2.3563
COL23A1|1_DLL4	COL23A1|1	DLL4	8.776	1.1612	-2.339
COL2A1|2_DLL4	COL2A1|2	DLL4	8.52	0.774	-2.3175
COL3A1|1_DLL4	COL3A1|1	DLL4	8.765	1.2473	-2.4011
COL4_DLL4	COL4	DLL4	9.011	1.3406	-2.6009
COL5A1_DLL4	COL5A1	DLL4	8.564	0.9797	-2.5105
DCN|A_DLL4	DCN|A	DLL4	8.702	1.0054	-2.4859
DSG2_DLL4	DSG2	DLL4	8.853	1.3065	-2.594
ECM1|1_DLL4	ECM1|1	DLL4	8.71	1.1947	-2.4119
ELN|3_DLL4	ELN|3	DLL4	8.007	1.7674	-2.1055
FBN1_DLL4	FBN1	DLL4	8.825	1.3564	-2.5552
FN1|1_DLL4	FN1|1	DLL4	8.756	1.2219	-2.262
GAP43|1_DLL4	GAP43|1	DLL4	8.709	1.0775	-2.5334
HA<500kDa_DLL4	HA<500kDa	DLL4	8.973	1.2618	-2.3933
HA>500kDa_DLL4	HA>500kDa	DLL4	8.779	1.1837	-2.2545
ICAM1_DLL4	ICAM1	DLL4	8.754	1.1056	-2.5179
ITGA10B1_DLL4	ITGA10B1	DLL4	8.858	1.1095	-2.4553
ITGA2B1_DLL4	ITGA2B1	DLL4	8.64	1.2321	-2.6031
ITGA3B1_DLL4	ITGA3B1	DLL4	8.784	1.2129	-2.4367
ITGA4B1_DLL4	ITGA4B1	DLL4	8.556	1.1369	-2.6511
ITGA6B4_DLL4	ITGA6B4	DLL4	8.66	0.9691	-2.4293
ITGA9B1_DLL4	ITGA9B1	DLL4	8.819	1.1909	-2.2415
ITGAMB2_DLL4	ITGAMB2	DLL4	8.586	1.165	-2.302
ITGAVB6_DLL4	ITGAVB6	DLL4	8.801	1.0831	-2.5532
LAMB1_DLL4	LAMB1	DLL4	8.92	1.3792	-2.5573
LUM_DLL4	LUM	DLL4	8.966	1.1064	-2.5941
Laminin3B32_DLL4	Laminin3B32	DLL4	8.792	0.9908	-2.4754
NID1|1_DLL4	NID1|1	DLL4	8.445	2.0004	-1.47
OMD_DLL4	OMD	DLL4	8.896	1.4848	-2.6545
PECAM1|Long_DLL4	PECAM1|Long	DLL4	8.712	1.0046	-2.4165
POSTN|1_DLL4	POSTN|1	DLL4	8.544	1.187	-2.3966
SPARC_DLL4	SPARC	DLL4	8.542	1.0402	-2.3669
SPP1|A_DLL4	SPP1|A	DLL4	8.834	1.1287	-2.6736
THBS1|1_DLL4	THBS1|1	DLL4	8.75	1.6225	-2.738
TNC|1_DLL4	TNC|1	DLL4	8.891	1.3118	-2.5476
VCAM1|1_DLL4	VCAM1|1	DLL4	8.552	1.1481	-2.4128
VTN_DLL4	VTN	DLL4	8.721	1.0305	-2.4848
ALCAM|1_EGF|1	ALCAM|1	EGF|1	8.845	1.3581	-2.7202
BCAN|1_EGF|1	BCAN|1	EGF|1	8.55	1.4779	-2.7741
BGN_EGF|1	BGN	EGF|1	8.91	1.3541	-2.4053
CD44|1_EGF|1	CD44|1	EGF|1	8.867	1.264	-2.5409
CDH15_EGF|1	CDH15	EGF|1	8.884	1.2644	-2.6684
CDH1|1_EGF|1	CDH1|1	EGF|1	8.871	1.2546	-2.5122
CDH20_EGF|1	CDH20	EGF|1	8.976	1.2647	-2.6225
CDH3|1_EGF|1	CDH3|1	EGF|1	8.574	1.2786	-2.7055
CDH6|1_EGF|1	CDH6|1	EGF|1	8.969	1.2327	-2.8277
CDH8_EGF|1	CDH8	EGF|1	8.927	1.325	-2.6978
CEACAM6_EGF|1	CEACAM6	EGF|1	9.237	1.5608	-2.739
COL1_EGF|1	COL1	EGF|1	9.124	1.2698	-2.6102
COL23A1|1_EGF|1	COL23A1|1	EGF|1	9.103	1.1254	-2.6079
COL2A1|2_EGF|1	COL2A1|2	EGF|1	8.999	1.4356	-2.6712
COL3A1|1_EGF|1	COL3A1|1	EGF|1	9.012	1.1762	-2.5026
COL4_EGF|1	COL4	EGF|1	9.216	1.459	-2.7113
COL5A1_EGF|1	COL5A1	EGF|1	8.739	1.1152	-2.6059
DCN|A_EGF|1	DCN|A	EGF|1	8.513	1.2096	-2.6671
DSG2_EGF|1	DSG2	EGF|1	9.066	1.391	-2.6527
ECM1|1_EGF|1	ECM1|1	EGF|1	9.038	1.2742	-2.6535
ELN|3_EGF|1	ELN|3	EGF|1	8.223	1.5044	-2.2806
FBN1_EGF|1	FBN1	EGF|1	9.242	1.2694	-2.7639
FN1|1_EGF|1	FN1|1	EGF|1	9.16	1.5096	-2.7675
GAP43|1_EGF|1	GAP43|1	EGF|1	8.943	1.369	-2.7432
HA<500kDa_EGF|1	HA<500kDa	EGF|1	8.736	1.2765	-2.5327
HA>500kDa_EGF|1	HA>500kDa	EGF|1	9.024	1.3897	-2.5755
ICAM1_EGF|1	ICAM1	EGF|1	8.972	1.3877	-2.5568
ITGA10B1_EGF|1	ITGA10B1	EGF|1	8.814	1.4137	-2.6214
ITGA2B1_EGF|1	ITGA2B1	EGF|1	8.985	1.2455	-2.5758
ITGA3B1_EGF|1	ITGA3B1	EGF|1	8.803	1.2801	-2.6916
ITGA4B1_EGF|1	ITGA4B1	EGF|1	8.913	1.4121	-2.6506
ITGA6B4_EGF|1	ITGA6B4	EGF|1	8.83	1.1433	-2.6361
ITGA9B1_EGF|1	ITGA9B1	EGF|1	8.772	1.3156	-2.8658
ITGAMB2_EGF|1	ITGAMB2	EGF|1	8.856	1.4551	-2.4983
ITGAVB6_EGF|1	ITGAVB6	EGF|1	8.798	1.3516	-2.7216
LAMB1_EGF|1	LAMB1	EGF|1	8.798	1.4729	-2.8447
LUM_EGF|1	LUM	EGF|1	8.916	1.3962	-2.7386
Laminin3B32_EGF|1	Laminin3B32	EGF|1	8.438	1.4	-2.8236
NID1|1_EGF|1	NID1|1	EGF|1	8.466	1.841	-2.1307
OMD_EGF|1	OMD	EGF|1	8.899	1.4863	-2.8735
PECAM1|Long_EGF|1	PECAM1|Long	EGF|1	8.858	1.5386	-2.5707
POSTN|1_EGF|1	POSTN|1	EGF|1	8.838	1.3017	-2.5456
SPARC_EGF|1	SPARC	EGF|1	8.635	1.1952	-2.5781
SPP1|A_EGF|1	SPP1|A	EGF|1	8.689	1.6309	-2.505
THBS1|1_EGF|1	THBS1|1	EGF|1	8.99	1.7643	-2.8102
TNC|1_EGF|1	TNC|1	EGF|1	8.883	1.426	-2.8029
VCAM1|1_EGF|1	VCAM1|1	EGF|1	8.754	1.2552	-2.585
VTN_EGF|1	VTN	EGF|1	8.582	1.1376	-2.7353
ALCAM|1_FASLG|1	ALCAM|1	FASLG|1	8.198	1.2845	-2.5003
BCAN|1_FASLG|1	BCAN|1	FASLG|1	8.188	0.9984	-2.5338
BGN_FASLG|1	BGN	FASLG|1	8.158	1.0463	-2.3913
CD44|1_FASLG|1	CD44|1	FASLG|1	8.197	1.3767	-2.3149
CDH15_FASLG|1	CDH15	FASLG|1	8.142	1.3052	-2.2709
CDH1|1_FASLG|1	CDH1|1	FASLG|1	8.173	1.3771	-2.5174
CDH20_FASLG|1	CDH20	FASLG|1	8.147	1.2399	-2.4606
CDH3|1_FASLG|1	CDH3|1	FASLG|1	8.147	1.3601	-2.3392
CDH6|1_FASLG|1	CDH6|1	FASLG|1	8.05	1.2322	-2.4015
CDH8_FASLG|1	CDH8	FASLG|1	8.323	1.2358	-2.3338
CEACAM6_FASLG|1	CEACAM6	FASLG|1	8.054	0.9093	-2.2847
COL1_FASLG|1	COL1	FASLG|1	8.108	1.1315	-2.3691
COL23A1|1_FASLG|1	COL23A1|1	FASLG|1	7.994	1.0824	-2.4146
COL2A1|2_FASLG|1	COL2A1|2	FASLG|1	8.123	1.0701	-2.3101
COL3A1|1_FASLG|1	COL3A1|1	FASLG|1	8.315	1.2866	-2.2488
COL4_FASLG|1	COL4	FASLG|1	8.407	1.3593	-2.4539
COL5A1_FASLG|1	COL5A1	FASLG|1	8.124	1.1514	-2.4488
DCN|A_FASLG|1	DCN|A	FASLG|1	8.349	1.1203	-2.548
DSG2_FASLG|1	DSG2	FASLG|1	8.212	1.3594	-2.4759
ECM1|1_FASLG|1	ECM1|1	FASLG|1	8.167	1.2766	-2.5649
ELN|3_FASLG|1	ELN|3	FASLG|1	7.966	1.405	-1.8184
FBN1_FASLG|1	FBN1	FASLG|1	8.129	1.4963	-2.5044
FN1|1_FASLG|1	FN1|1	FASLG|1	8.241	1.4688	-2.285
GAP43|1_FASLG|1	GAP43|1	FASLG|1	8.177	1.2891	-2.3953
HA<500kDa_FASLG|1	HA<500kDa	FASLG|1	8.25	1.1477	-2.411
HA>500kDa_FASLG|1	HA>500kDa	FASLG|1	8.043	1.0205	-2.3214
ICAM1_FASLG|1	ICAM1	FASLG|1	7.902	1.1848	-2.2321
ITGA10B1_FASLG|1	ITGA10B1	FASLG|1	8.035	1.2286	-2.4172
ITGA2B1_FASLG|1	ITGA2B1	FASLG|1	7.895	1.2854	-2.4144
ITGA3B1_FASLG|1	ITGA3B1	FASLG|1	8.199	1.113	-2.3357
ITGA4B1_FASLG|1	ITGA4B1	FASLG|1	8.149	1.2497	-2.4343
ITGA6B4_FASLG|1	ITGA6B4	FASLG|1	8.007	1.4787	-2.4834
ITGA9B1_FASLG|1	ITGA9B1	FASLG|1	8.39	1.4297	-2.5858
ITGAMB2_FASLG|1	ITGAMB2	FASLG|1	7.976	1.1536	-2.3265
ITGAVB6_FASLG|1	ITGAVB6	FASLG|1	8.282	1.3557	-2.4954
LAMB1_FASLG|1	LAMB1	FASLG|1	8.342	1.1875	-2.566
LUM_FASLG|1	LUM	FASLG|1	8.127	1.1879	-2.5125
Laminin3B32_FASLG|1	Laminin3B32	FASLG|1	8.14	1.1722	-2.5602
NID1|1_FASLG|1	NID1|1	FASLG|1	8.03	1.2017	-1.4505
OMD_FASLG|1	OMD	FASLG|1	8.359	1.4012	-2.7333
PECAM1|Long_FASLG|1	PECAM1|Long	FASLG|1	8.219	1.2658	-2.5818
POSTN|1_FASLG|1	POSTN|1	FASLG|1	8.26	1.1681	-2.4578
SPARC_FASLG|1	SPARC	FASLG|1	8.175	1.2743	-2.3228
SPP1|A_FASLG|1	SPP1|A	FASLG|1	8.145	1.2858	-2.2447
THBS1|1_FASLG|1	THBS1|1	FASLG|1	8.441	1.8258	-2.6139
TNC|1_FASLG|1	TNC|1	FASLG|1	8.294	1.3155	-2.4781
VCAM1|1_FASLG|1	VCAM1|1	FASLG|1	8.166	1.2824	-2.4333
VTN_FASLG|1	VTN	FASLG|1	8.071	1.1207	-2.3667
ALCAM|1_FGF2|3	ALCAM|1	FGF2|3	8.974	1.1928	-2.459
BCAN|1_FGF2|3	BCAN|1	FGF2|3	8.752	1.0415	-2.3048
BGN_FGF2|3	BGN	FGF2|3	8.763	0.7964	-2.1079
CD44|1_FGF2|3	CD44|1	FGF2|3	9.05	1.0993	-2.4436
CDH15_FGF2|3	CDH15	FGF2|3	8.813	1.0613	-2.3289
CDH1|1_FGF2|3	CDH1|1	FGF2|3	8.963	1.106	-2.4003
CDH20_FGF2|3	CDH20	FGF2|3	8.801	0.9317	-2.2476
CDH3|1_FGF2|3	CDH3|1	FGF2|3	8.697	1.2111	-2.2739
CDH6|1_FGF2|3	CDH6|1	FGF2|3	9.142	1.0901	-2.1754
CDH8_FGF2|3	CDH8	FGF2|3	8.822	1.1815	-2.3681
CEACAM6_FGF2|3	CEACAM6	FGF2|3	8.795	1.1058	-2.2907
COL1_FGF2|3	COL1	FGF2|3	8.618	0.9161	-2.1241
COL23A1|1_FGF2|3	COL23A1|1	FGF2|3	9.143	1.0179	-2.1213
COL2A1|2_FGF2|3	COL2A1|2	FGF2|3	8.562	0.8645	-2.1975
COL3A1|1_FGF2|3	COL3A1|1	FGF2|3	8.965	0.9345	-2.3017
COL4_FGF2|3	COL4	FGF2|3	9.044	1.0776	-2.3183
COL5A1_FGF2|3	COL5A1	FGF2|3	9.21	0.9346	-2.3229
DCN|A_FGF2|3	DCN|A	FGF2|3	8.751	0.9344	-2.2634
DSG2_FGF2|3	DSG2	FGF2|3	8.787	0.95	-2.2999
ECM1|1_FGF2|3	ECM1|1	FGF2|3	8.931	0.983	-2.3391
ELN|3_FGF2|3	ELN|3	FGF2|3	8.377	1.1184	-2.0055
FBN1_FGF2|3	FBN1	FGF2|3	9.008	1.1253	-2.3521
FN1|1_FGF2|3	FN1|1	FGF2|3	9.1	1.095	-2.2667
GAP43|1_FGF2|3	GAP43|1	FGF2|3	8.948	1.0532	-2.5211
HA<500kDa_FGF2|3	HA<500kDa	FGF2|3	8.803	1.1774	-2.2299
HA>500kDa_FGF2|3	HA>500kDa	FGF2|3	9.035	0.987	-2.4048
ICAM1_FGF2|3	ICAM1	FGF2|3	8.809	0.9988	-2.2149
ITGA10B1_FGF2|3	ITGA10B1	FGF2|3	8.791	1.0936	-2.4741
ITGA2B1_FGF2|3	ITGA2B1	FGF2|3	8.79	0.8677	-2.3419
ITGA3B1_FGF2|3	ITGA3B1	FGF2|3	8.92	1.1266	-2.3115
ITGA4B1_FGF2|3	ITGA4B1	FGF2|3	8.859	0.9115	-2.277
ITGA6B4_FGF2|3	ITGA6B4	FGF2|3	8.729	1.2088	-2.2296
ITGA9B1_FGF2|3	ITGA9B1	FGF2|3	8.902	0.9935	-2.0905
ITGAMB2_FGF2|3	ITGAMB2	FGF2|3	8.865	1.0276	-2.3463
ITGAVB6_FGF2|3	ITGAVB6	FGF2|3	8.577	1.1308	-2.3134
LAMB1_FGF2|3	LAMB1	FGF2|3	8.834	1.0638	-2.3417
LUM_FGF2|3	LUM	FGF2|3	8.965	1.01	-2.4608
Laminin3B32_FGF2|3	Laminin3B32	FGF2|3	8.668	1.0285	-2.1718
NID1|1_FGF2|3	NID1|1	FGF2|3	8.759	1.9658	-1.541
OMD_FGF2|3	OMD	FGF2|3	9.157	1.297	-2.368
PECAM1|Long_FGF2|3	PECAM1|Long	FGF2|3	8.675	0.8763	-2.1181
POSTN|1_FGF2|3	POSTN|1	FGF2|3	8.624	1.0476	-2.2076
SPARC_FGF2|3	SPARC	FGF2|3	8.639	1.0177	-2.4028
SPP1|A_FGF2|3	SPP1|A	FGF2|3	8.796	1.039	-2.4106
THBS1|1_FGF2|3	THBS1|1	FGF2|3	9.111	1.3372	-2.4874
TNC|1_FGF2|3	TNC|1	FGF2|3	8.844	1.1011	-2.4483
VCAM1|1_FGF2|3	VCAM1|1	FGF2|3	8.732	1.1754	-2.2317
VTN_FGF2|3	VTN	FGF2|3	8.932	1.3114	-2.283
ALCAM|1_FGF6	ALCAM|1	FGF6	8.718	1.4791	-2.5931
BCAN|1_FGF6	BCAN|1	FGF6	8.897	1.6005	-2.5755
BGN_FGF6	BGN	FGF6	8.879	1.7075	-2.4069
CD44|1_FGF6	CD44|1	FGF6	8.851	1.6463	-2.436
CDH15_FGF6	CDH15	FGF6	8.904	1.6851	-2.458
CDH1|1_FGF6	CDH1|1	FGF6	8.719	1.6041	-2.7169
CDH20_FGF6	CDH20	FGF6	8.831	1.5408	-2.2401
CDH3|1_FGF6	CDH3|1	FGF6	8.869	1.6553	-2.6172
CDH6|1_FGF6	CDH6|1	FGF6	8.749	1.4766	-2.62
CDH8_FGF6	CDH8	FGF6	8.892	1.4357	-2.6669
CEACAM6_FGF6	CEACAM6	FGF6	8.763	1.7196	-2.3955
COL1_FGF6	COL1	FGF6	8.821	1.5926	-2.4653
COL23A1|1_FGF6	COL23A1|1	FGF6	8.894	1.5443	-2.4781
COL2A1|2_FGF6	COL2A1|2	FGF6	8.744	1.4269	-2.4264
COL3A1|1_FGF6	COL3A1|1	FGF6	8.919	1.8168	-2.3452
COL4_FGF6	COL4	FGF6	9.12	1.6824	-2.5959
COL5A1_FGF6	COL5A1	FGF6	9.001	1.655	-2.4046
DCN|A_FGF6	DCN|A	FGF6	8.771	1.557	-2.4097
DSG2_FGF6	DSG2	FGF6	8.86	1.6561	-2.6536
ECM1|1_FGF6	ECM1|1	FGF6	8.964	1.7024	-2.434
ELN|3_FGF6	ELN|3	FGF6	7.3	1.9043	-1.5241
FBN1_FGF6	FBN1	FGF6	8.973	1.6702	-2.7138
FN1|1_FGF6	FN1|1	FGF6	8.928	1.8119	-2.6135
GAP43|1_FGF6	GAP43|1	FGF6	8.881	1.6609	-2.6849
HA<500kDa_FGF6	HA<500kDa	FGF6	8.737	1.7716	-2.36
HA>500kDa_FGF6	HA>500kDa	FGF6	8.733	1.4009	-2.3209
ICAM1_FGF6	ICAM1	FGF6	8.769	1.4084	-2.418
ITGA10B1_FGF6	ITGA10B1	FGF6	8.731	1.5151	-2.4098
ITGA2B1_FGF6	ITGA2B1	FGF6	8.694	1.7135	-2.4003
ITGA3B1_FGF6	ITGA3B1	FGF6	8.805	1.6192	-2.4957
ITGA4B1_FGF6	ITGA4B1	FGF6	8.936	1.5005	-2.3749
ITGA6B4_FGF6	ITGA6B4	FGF6	8.603	1.4891	-2.4442
ITGA9B1_FGF6	ITGA9B1	FGF6	8.877	1.5802	-2.4626
ITGAMB2_FGF6	ITGAMB2	FGF6	8.862	1.2927	-2.3816
ITGAVB6_FGF6	ITGAVB6	FGF6	8.91	1.5515	-2.332
LAMB1_FGF6	LAMB1	FGF6	8.765	1.58	-2.5193
LUM_FGF6	LUM	FGF6	9.06	1.5856	-2.5955
Laminin3B32_FGF6	Laminin3B32	FGF6	8.692	1.6808	-2.6597
NID1|1_FGF6	NID1|1	FGF6	6.25	1.9931	-1.7006
OMD_FGF6	OMD	FGF6	9.005	1.6817	-2.5322
PECAM1|Long_FGF6	PECAM1|Long	FGF6	8.779	1.6056	-2.4987
POSTN|1_FGF6	POSTN|1	FGF6	8.723	1.2663	-2.2225
SPARC_FGF6	SPARC	FGF6	8.865	1.3889	-2.2696
SPP1|A_FGF6	SPP1|A	FGF6	8.662	1.6425	-2.6312
THBS1|1_FGF6	THBS1|1	FGF6	8.858	1.6987	-2.5514
TNC|1_FGF6	TNC|1	FGF6	8.998	1.5879	-2.5634
VCAM1|1_FGF6	VCAM1|1	FGF6	8.644	1.6158	-2.5138
VTN_FGF6	VTN	FGF6	8.892	1.6053	-2.5865
ALCAM|1_FLT3LG|1	ALCAM|1	FLT3LG|1	8.067	1.0076	-2.5816
BCAN|1_FLT3LG|1	BCAN|1	FLT3LG|1	8.469	0.9404	-2.4462
BGN_FLT3LG|1	BGN	FLT3LG|1	8.941	1.0608	-2.4095
CD44|1_FLT3LG|1	CD44|1	FLT3LG|1	8.372	1.0243	-2.2549
CDH15_FLT3LG|1	CDH15	FLT3LG|1	8.183	0.9882	-2.0078
CDH1|1_FLT3LG|1	CDH1|1	FLT3LG|1	8.079	1.0297	-2.2843
CDH20_FLT3LG|1	CDH20	FLT3LG|1	8.241	0.8558	-2.5405
CDH3|1_FLT3LG|1	CDH3|1	FLT3LG|1	8.828	0.9024	-2.6219
